Eurasian stone-curlew,Burhinidae,Charadriiformes,Burhinus
Eurasian teal,Anatidae,Anseriformes,Anas
Eurasian tree sparrow,Passeridae,Passeriformes,Passer
Eurasian wigeon,Anatidae,Anseriformes,Mareca
Eurasian woodcock,Scolopacidae,Charadriiformes,Scolopax
Eurasian wren,Troglodytidae,Passeriformes,Troglodytes
Eurasian wryneck,Picidae,Piciformes,Jynx
European bee-eater,Meropidae,Coraciiformes,Merops
European golden plover,Charadriidae,Charadriiformes,Pluvialis
European goldfinch,Fringillidae,Passeriformes,Carduelis
European greenfinch,Fringillidae,Passeriformes,Chloris
European herring gull,Laridae,Charadriiformes,Larus
European honey buzzard,Accipitridae,Accipitriformes,Pernis
European nightjar,Caprimulgidae,Caprimulgiformes,Caprimulgus
European pied flycatcher,Muscicapidae,Passeriformes,Ficedula
European robin,Muscicapidae,Passeriformes,Erithacus
European roller,Coraciidae,Coraciiformes,Coracias
European serin,Fringillidae,Passeriformes,Serinus
European shag,Phalacrocoracidae,Suliformes,Phalacrocorax
European stonechat,Muscicapidae,Passeriformes,Saxicola
European storm petrel,Hydrobatidae,Procellariiformes,Hydrobates
European turtle dove,Columbidae,Columbiformes,Streptopelia
Eversmann's redstart,Muscicapidae,Passeriformes,Phoenicurus
Eyebrowed thrush,Turdidae,Passeriformes,Turdus
Fan-tailed raven,Corvidae,Passeriformes,Corvus
Fea's petrel,Procellariidae,Procellariiformes,Pterodroma
Ferruginous duck,Anatidae,Anseriformes,Aythya
Fieldfare,Turdidae,Passeriformes,Turdus
Finsch's wheatear,Muscicapidae,Passeriformes,Oenanthe
Flesh-footed shearwater,Procellariidae,Procellariiformes,Ardenna
Franklin's gull,Laridae,Charadriiformes,Leucophaeus
Gadwall,Anatidae,Anseriformes,Mareca
Garden warbler,Sylviidae,Passeriformes,Sylvia
Garganey,Anatidae,Anseriformes,Spatula
Glaucous gull,Laridae,Charadriiformes,Larus
Glossy ibis,Threskiornithidae,Pelecaniformes,Plegadis
Goldcrest,Regulidae,Passeriformes,Regulus
